roomID,room_name,location,latitude,longitude,link,image_link
50563,여수 테디베어스 게스트하우스,전남 여수시 고소동 796-2 　,34.7411657,127.7372125,https://www.goodchoice.kr/product/detail?ano=50563,//image.goodchoice.kr/resize_490x348/adimg_new/50563/0/2997ed423b9b7e8d8e6ea80ef310e8cb.jpg
50568,광주 호텔 Coo,광주 남구 방림동 540-21,35.1336779,126.9126831,https://www.goodchoice.kr/product/detail?ano=50568,//image.goodchoice.kr/resize_490x348/adimg_new/50568/183516/17d9d6481ebe67b9a50754b41079399e.jpg
50572,메르블루,경남 남해군 남면 선구리 1388,34.729969,127.8687494,https://www.goodchoice.kr/product/detail?ano=50572,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/07/04/11dd5d84cc3146e45482c999dfaf51a9.jpg
50574,하동 가비원,경남 하동군 화개면 탑리 674-5,35.1898034,127.6230313,https://www.goodchoice.kr/product/detail?ano=50574,//image.goodchoice.kr/resize_490x348/adimg_new/50574/142387/0174f540cea988ce47a46941ea1db8b7.jpg
50576,예산 숲속모텔,충남 예산군 덕산면 시량리 98-2,36.6869448,126.6497706,https://www.goodchoice.kr/product/detail?ano=50576,//image.goodchoice.kr/resize_490x348/adimg_new/50576/142622/f866d1c5acd2ce26153fb051f1027a79.jpg
50577,보은 숲속의 하얀펜션,충북 보은군 산외면 이식리 456-5,36.5673048,127.686643,https://www.goodchoice.kr/product/detail?ano=50577,//image.goodchoice.kr/resize_490x348/affiliate/2019/09/10/5d774ff41a8c4.jpg
50579,평창 펜션레이,강원 평창군 봉평면 무이리 1143,37.59062400000001,128.3072822,https://www.goodchoice.kr/product/detail?ano=50579,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/13/5a828217c5c6a.jpg
50586,명지 브라운도트,부산 강서구 명지동 1526-3,35.0992225,128.9281968,https://www.goodchoice.kr/product/detail?ano=50586,//image.goodchoice.kr/resize_490x348/adimg_new/50586/277757/35d15eb640bd72ecf5e6688ceae0b4fe.jpg
50588,탄금호 캠핑리조트,충북 충주시 중앙탑면 탑평리 137,37.0217142,127.8643575,https://www.goodchoice.kr/product/detail?ano=50588,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/01/30f947455dfe66752c46fc76ddc723b5.jpg
50596,송림펜션,충남 태안군 남면 진산리 444,36.7111768,126.2752141,https://www.goodchoice.kr/product/detail?ano=50596,//image.goodchoice.kr/resize_490x348/affiliate/2020/04/17/05/5486183f9607d54e57e893bf2408a0a0.jpg
